name,slug,latitude,longitude
Château-Arnoux—St-Auban,chateau-arnoux-st-auban,44.08179,6.001625
Château-Arnoux—St-Auban,chateau-arnoux-st-auban,44.0615651,5.9973734
Château-Arnoux Mairie,chateau-arnoux-mairie,44.063863,6.011248
Digne-les-Bains,digne-les-bains,44.35,6.35
Digne-les-Bains,digne-les-bains,44.0887101339806,6.22298240661621
La Crau,la-crau,43.1449352,6.0687663
Aire-sur-l’Adour,aire-sur-ladour,43.703854,-0.258269
Cagnes-sur-Mer,cagnes-sur-mer,43.65813,7.14864
Menton,menton,43.776486,7.504349
Menton,menton,43.774444,7.4933
Menton—Garavan,menton-garavan,43.785202,7.517297
Vievola,vievola,44.1125561,7.5627976
Mandelieu-la-Napoule,mandelieu-la-napoule,43.523903,6.941313
Decazeville,decazeville,44.55,2.25
Decazeville Centre,decazeville-centre,44.561434,2.255896
Viviez—Decazeville,viviez-decazeville,44.5555678,2.2182582
Decazeville Fontvergne,decazeville-fontvergne,44.5556353355882,2.2637414932251
St-Sever Calvados,st-sever-calvados,48.833333,-1.033333
St-Sever Centre,st-sever-centre,48.839517,-1.049283
St-Sever Calvados,st-sever-calvados,48.843608,-1.0516979
Vire,vire,48.83897,-0.88928
Vire Centre,vire-centre,48.837638,-0.880538
Vire,vire,48.846329,-0.882884
Marans,marans,46.3,-1
Marans Centre,marans-centre,46.290815,-0.979212
Marans,marans,46.30433,-1.00127
Uzerche,uzerche,45.4407088,1.5702735
Dijon Ville,dijon-ville,47.32337,5.027208
Pontrieux,pontrieux,48.7,-3.166667
Pontrieux Halte,pontrieux-halte,48.6980361,-3.1644959
Pontrieux,pontrieux,48.7056437,-3.1574281
Auboué,auboue,49.216163,5.9714608
Périgueux,perigueux,45.187408,0.707879
Besançon Viotte,besancon-viotte,47.247019,6.022003
Douarnenez Office de Tourisme,douarnenez-office-de-tourisme,48.0933626901347,-4.33037281036377
Concarneau,concarneau,47.866667,-3.916667
Concarneau Port,concarneau-port,47.867055,-3.927593
